"ID_ESTACION","LINEA","ESTACION"
"01","H","CASEROS"
"10","D","SCALABRINI ORTIZ"
"11","D","PLAZA ITALIA"
"12","D","PALERMO"
"13","C","RETIRO"
"14","C","LAVALLE"
"15","C","DIAGONAL NORTE"
"16","C","AVENIDA DE MAYO"
"17","C","MARIANO MORENO"
"18","C","INDEPENDENCIA"
"19","C","CONSTITUCION"
"02","H","INCLAN"
"20","B","FLORIDA"
"21","B","CARLOS PELLEGRINI"
"22","B","URUGUAY"
"23","B","CALLAO"
"24","B","PASTEUR"
"25","B","PUEYRREDON"
"26","B","CARLOS GARDEL"
"27","B","MEDRANO"
"28","B","ANGEL GALLARDO"
"29","B","MALABIA"
"03","H","HUMBERTO I"
"30","B","DORREGO"
"31","A","PERU"
"32","A","PIEDRAS"
"33","A","LIMA"
"34","A","SAENZ PENA"
"35","A","CONGRESO"
"36","A","PASCO"
"37","A","ALBERTI"
"38","A","PLAZA MISERERE"
"39","A","LORIA"
"04","H","VENEZUELA"
"40","A","CASTRO BARROS"
"41","A","RIO DE JANEIRO"
"42","A","ACOYTE"
"43","A","PRIMERA JUNTA"
"44","E","BOLIVAR"
"45","E","GENERAL BELGRANO"
"46","E","INDEPENDENCIA"
"47","E","SAN JOSE"
"48","E","ENTRE RIOS"
"49","E","PICHINCHA"
"05","H","ONCE"
"50","E","JUJUY"
"51","E","URQUIZA"
"52","E","JOSE MARIA MORENO"
"53","E","EMILIO MITRE"
"54","D","BULNES"
"55","D","PUEYRREDON"
"56","D","CALLAO"
"57","C","GENERAL SAN MARTIN"
"58","C","SAN JUAN"
"59","E","MEDALLA MILAGROSA"
"06","D","9 DE JULIO"
"60","E","AVENIDA LA PLATA"
"61","E","BOEDO"
"62","D","MINISTRO CARRANZA"
"63","D","OLLEROS"
"64","D","JOSE HERNANDEZ"
"65","D","JURAMENTO"
"66","B","FEDERICO LACROZE"
"67","E","PZA. DE LOS VIRREYES"
"68","E","VARELA"
"69","D","CATEDRAL"
"07","D","FACULTAD DE MEDICINA"
"70","A","PLAZA DE MAYO"
"71","D","CONGRESO DE TUCUMAN"
"72","B","LEANDRO N. ALEM"
"73","B","TRONADOR"
"74","B","LOS INCAS"
"75","A","CARABOBO"
"76","A","PUAN"
"77","H","CORRIENTES"
"78","H","PATRICIOS"
"79","H","HOSPITALES"
"08","D","TRIBUNALES"
"80","B","ECHEVERRIA"
"81","B","ROSAS"
"82","A","FLORES"
"83","A","SAN PEDRITO"
"84","H","CORDOBA"
"85","H","LAS HERAS"
"86","H","SANTA FE"
"87","H","FACULTAD DE DERECHO"
"88","E","CORREO CENTRAL"
"89","E","CATALINAS"
"09","D","AGUERO"
"90","E","RETIRO E"
